Published date,Positive_Count,Negative_Count,Neutral_Count,Total,Positive_Percentage,Negative_Percentage,Neutral_Percentage
2020-09-23,1,1,7,9,11.11111111,11.11111111,77.77777778
2020-09-24,2,2,3,7,28.57142857,28.57142857,42.85714286
2020-09-25,1,3,3,7,14.28571429,42.85714286,42.85714286
2020-09-26,1,3,1,5,20,60,20
2020-09-27,1,3,1,5,20,60,20
2020-09-28,3,1,4,8,37.5,12.5,50
2020-09-29,3,2,4,9,33.33333333,22.22222222,44.44444444
2020-09-30,0,4,2,6,0,66.66666667,33.33333333
2020-10-01,2,2,5,9,22.22222222,22.22222222,55.55555556
2020-10-02,0,1,3,4,0,25,75
2020-10-03,1,2,1,4,25,50,25
2020-10-04,4,0,2,6,66.66666667,0,33.33333333
2020-10-05,3,1,5,9,33.33333333,11.11111111,55.55555556
2020-10-06,1,3,2,6,16.66666667,50,33.33333333
2020-10-07,1,1,3,5,20,20,60
2020-10-08,2,2,5,9,22.22222222,22.22222222,55.55555556
2020-10-09,1,1,6,8,12.5,12.5,75
2020-10-10,1,0,1,2,50,0,50
2020-10-11,2,0,0,2,100,0,0
2020-10-12,4,0,6,10,40,0,60
2020-10-13,4,1,4,9,44.44444444,11.11111111,44.44444444
2020-10-14,3,1,6,10,30,10,60
2020-10-15,1,1,5,7,14.28571429,14.28571429,71.42857143
2020-10-16,3,0,5,8,37.5,0,62.5
2020-10-17,1,1,3,5,20,20,60
2020-10-18,0,1,5,6,0,16.66666667,83.33333333
2020-10-19,2,1,6,9,22.22222222,11.11111111,66.66666667
2020-10-20,2,2,4,8,25,25,50
2020-10-21,4,4,1,9,44.44444444,44.44444444,11.11111111
2020-10-22,6,0,1,7,85.71428571,0,14.28571429
2020-10-23,2,1,4,7,28.57142857,14.28571429,57.14285714
2020-10-24,3,1,3,7,42.85714286,14.28571429,42.85714286
2020-10-25,0,1,5,6,0,16.66666667,83.33333333
2020-10-26,4,1,3,8,50,12.5,37.5
2020-10-27,3,1,6,10,30,10,60
2020-10-28,3,1,3,7,42.85714286,14.28571429,42.85714286
2020-10-29,3,0,5,8,37.5,0,62.5
2020-10-30,2,1,2,5,40,20,40
2020-10-31,2,0,5,7,28.57142857,0,71.42857143
2020-11-01,2,1,2,5,40,20,40
2020-11-02,0,0,6,6,0,0,100
2020-11-03,3,1,5,9,33.33333333,11.11111111,55.55555556
2020-11-04,1,2,3,6,16.66666667,33.33333333,50
2020-11-05,4,0,6,10,40,0,60
2020-11-06,0,2,6,8,0,25,75
2020-11-07,0,1,1,2,0,50,50
2020-11-08,1,0,3,4,25,0,75
2020-11-09,0,4,4,8,0,50,50
2020-11-10,4,2,3,9,44.44444444,22.22222222,33.33333333
2020-11-11,2,3,5,10,20,30,50
2020-11-12,4,1,2,7,57.14285714,14.28571429,28.57142857
